date,concentration NGL (mgN/L)
2022-08-09,33.07412186
2022-08-10,32.5496782
2022-08-11,31.27436699
2022-08-12,31.19506748
2022-08-13,30.37888188
2022-08-14,28.22741328
2022-08-15,24.70972511
2022-08-16,17.71402525
2022-08-17,17.7994019
2022-08-18,25.90146938
2022-08-19,29.37406062
2022-08-20,30.72614275
2022-08-21,29.34707511
2022-08-22,32.66719464
2022-08-23,34.6404834
2022-08-24,34.13871965
2022-08-25,34.84697849
2022-08-26,34.86517173
2022-08-27,35.54806062
2022-08-28,37.43055337
2022-08-29,38.63533115
2022-08-30,32.83135048
2022-08-31,39.13300748
2022-09-01,39.41892535
2022-09-02,36.78317173
2022-09-03,39.81954091
2022-09-04,40.96961134
2022-09-05,29.63184323
2022-09-06,27.80282952
2022-09-07,34.45579009
2022-09-08,31.52751675
2022-09-09,35.98567898
2022-09-10,28.98172246
2022-09-11,32.59406062
2022-09-12,38.25451566
2022-09-13,39.82211859
2022-09-14,38.70867898
2022-09-15,40.97891959
2022-09-16,42.21828284
2022-09-17,42.70206062
2022-09-18,43.27974661
2022-09-19,40.92987705
2022-09-20,41.15431666
2022-09-21,41.66575627
2022-09-22,43.31311142
2022-09-23,43.14921521
2022-09-24,41.88461618
2022-09-25,41.94913791
2022-09-26,27.19954231
2022-09-27,28.08587081
2022-09-28,31.42877061
2022-09-29,34.59055509
2022-09-30,39.25021521
2022-10-01,31.04239395
2022-10-02,33.15828004
2022-10-03,38.21384323
2022-10-04,43.65297849
2022-10-05,44.07054371
2022-10-06,44.58600748
2022-10-07,45.32756787
2022-10-08,44.02428284
2022-10-09,45.99933115
2022-10-10,44.4112442
2022-10-11,45.33781424
2022-10-12,45.72961134
2022-10-13,40.77878526
2022-10-14,34.67299299
2022-10-15,25.65939395
2022-10-16,42.16458236
2022-10-17,30.79800265
2022-10-18,29.36617158
2022-10-19,43.0621041
2022-10-20,35.15984806
2022-10-21,21.52232632
2022-10-22,38.92270313
2022-10-23,43.48244226
2022-10-24,44.43068864
2022-10-25,46.97872246
2022-10-26,46.35741328
2022-10-27,45.79700748
2022-10-28,44.62317173
2022-10-29,44.77717173
2022-10-30,45.56668381
2022-10-31,44.26823453
2022-11-01,42.08737946
2022-11-02,43.98204613
2022-11-03,38.60296883
2022-11-04,38.45617173
2022-11-05,44.16350506
2022-11-06,28.73797366
2022-11-07,36.40457176
2022-11-08,44.67045146
2022-11-09,44.45872246
2022-11-10,45.28194951
2022-11-11,45.52539395
2022-11-12,44.52517173
2022-11-13,46.06547608
2022-11-14,43.99479492
2022-11-15,43.36530544
2022-11-16,35.40612218
2022-11-17,18.78018622
2022-11-18,40.99787424
2022-11-19,43.21370313
2022-11-20,42.33670796
2022-11-21,38.67766932
2022-11-22,33.40998333
2022-11-23,33.58498333
2022-11-24,36.86642122
2022-11-25,40.88906062
2022-11-26,43.97196883
2022-11-27,40.80036014
2022-11-28,26.11456304
2022-11-29,44.3657611
2022-11-30,45.14891569
2022-12-01,46.02276593
2022-12-02,46.39494951
2022-12-03,39.7068384
2022-12-04,45.28817173
2022-12-05,34.05367898
2022-12-06,41.8416355
2022-12-07,45.56867898
2022-12-08,45.01398816
2022-12-09,47.06228284
2022-12-10,45.90028284
2022-12-11,47.07161618
2022-12-12,46.65465965
2022-12-13,49.75755119
2022-12-14,51.32845177
2022-12-15,53.39090136
2022-12-16,45.59461618
2022-12-17,45.1248384
2022-12-18,42.55401231
2022-12-19,32.27496883
2022-12-20,28.92981424
2022-12-21,25.25981907
2022-12-22,19.56621412
2022-12-23,24.47865965
2022-12-24,35.86072729
2022-12-25,37.11961134
2022-12-26,37.41418622
2022-12-27,38.69376593
2022-12-28,36.43340845
2022-12-29,26.89234081
2022-12-30,31.63634564
2022-12-31,35.83817173
